id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US06049,"Modoc County, California",15.2,10.9,87.2,67.5,Modoc County, California
0500000US06051,"Mono County, California",28.8,6.1,73.7,70.6,Mono County, California
0500000US06053,"Monterey County, California",24.7,5.4,44.8,72.2,Monterey County, California
0500000US06055,"Napa County, California",35.7,6.7,65.1,51.6,Napa County, California
0500000US06057,"Nevada County, California",37.2,9.8,92.4,44.8,Nevada County, California
0500000US06059,"Orange County, California",40.6,4.4,54.4,45.4,Orange County, California
0500000US06061,"Placer County, California",39.7,8.7,84.5,35.1,Placer County, California
0500000US06063,"Plumas County, California",23.7,12.1,92.1,42.3,Plumas County, California
0500000US06065,"Riverside County, California",22.3,6.8,58.9,49.2,Riverside County, California
0500000US06067,"Sacramento County, California",30.9,6.7,67.3,42.4,Sacramento County, California
0500000US06069,"San Benito County, California",19.7,5.9,60.3,55.5,San Benito County, California
0500000US06071,"San Bernardino County, California",21.0,5.8,57.9,50.2,San Bernardino County, California
0500000US06073,"San Diego County, California",38.8,8.6,62.4,45.6,San Diego County, California
0500000US06075,"San Francisco County, California",58.1,3.1,57.1,36.6,San Francisco County, California
0500000US06077,"San Joaquin County, California",18.8,5.4,59.1,50.4,San Joaquin County, California
0500000US06079,"San Luis Obispo County, California",35.4,7.3,82.0,48.5,San Luis Obispo County, California
0500000US06081,"San Mateo County, California",51.0,4.1,54.3,42.4,San Mateo County, California
0500000US06083,"Santa Barbara County, California",34.2,6.1,59.7,65.7,Santa Barbara County, California
0500000US06085,"Santa Clara County, California",52.4,3.4,47.0,46.7,Santa Clara County, California
0500000US06087,"Santa Cruz County, California",40.8,4.6,67.9,59.7,Santa Cruz County, California
0500000US06089,"Shasta County, California",22.2,9.8,91.7,48.5,Shasta County, California
0500000US06091,"Sierra County, California",17.9,11.4,90.3,74.3,Sierra County, California
0500000US06093,"Siskiyou County, California",23.2,11.2,91.1,39.5,Siskiyou County, California
0500000US06095,"Solano County, California",26.9,9.8,70.1,40.7,Solano County, California
0500000US06097,"Sonoma County, California",35.5,6.4,74.4,56.0,Sonoma County, California
0500000US06099,"Stanislaus County, California",17.1,5.3,57.1,54.3,Stanislaus County, California
0500000US06101,"Sutter County, California",18.2,8.5,62.7,48.9,Sutter County, California
0500000US06103,"Tehama County, California",15.7,9.0,81.1,52.2,Tehama County, California
