id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US20109,"Logan County, Kansas",2805,94.8,0.1,0.0,2805,11.6,10.5,22.0,25.5,10.3,Logan County, Kansas
0500000US20111,"Lyon County, Kansas",33251,89.2,2.3,2.1,33251,21.4,11.7,21.2,20.4,6.7,Lyon County, Kansas
0500000US20113,"McPherson County, Kansas",28567,95.5,1.2,0.7,28567,13.5,11.5,22.4,24.4,9.6,McPherson County, Kansas
0500000US20115,"Marion County, Kansas",11964,95.6,0.8,0.4,11964,13.600000000000001,9.0,21.5,26.6,11.399999999999999,Marion County, Kansas
0500000US20117,"Marshall County, Kansas",9749,96.7,0.3,0.4,9749,10.5,10.3,21.700000000000003,26.7,10.899999999999999,Marshall County, Kansas
0500000US20119,"Meade County, Kansas",4180,84.7,0.6,0.7,4180,13.8,12.3,23.0,21.9,8.8,Meade County, Kansas
0500000US20121,"Miami County, Kansas",33417,95.5,1.5,0.6,33417,11.8,9.9,26.5,24.3,7.199999999999999,Miami County, Kansas
0500000US20123,"Mitchell County, Kansas",6145,97.0,0.7,0.3,6145,13.5,9.6,20.6,25.1,12.1,Mitchell County, Kansas
0500000US20125,"Montgomery County, Kansas",32521,84.2,5.0,1.0,32521,12.600000000000001,11.6,22.5,24.5,8.8,Montgomery County, Kansas
0500000US20127,"Morris County, Kansas",5566,96.1,0.2,0.6,5566,9.4,9.9,22.0,28.799999999999997,11.9,Morris County, Kansas
0500000US20129,"Morton County, Kansas",2754,91.9,0.8,0.6,2754,12.3,13.4,20.5,24.3,9.5,Morton County, Kansas
0500000US20131,"Nemaha County, Kansas",10121,96.8,0.7,0.1,10121,12.8,10.4,21.8,22.4,10.8,Nemaha County, Kansas
0500000US20133,"Neosho County, Kansas",16108,94.9,1.3,0.1,16108,12.5,11.0,22.6,24.3,9.0,Neosho County, Kansas
0500000US20135,"Ness County, Kansas",2876,93.3,0.5,0.3,2876,8.5,10.8,19.1,30.6,12.7,Ness County, Kansas
0500000US20137,"Norton County, Kansas",5446,92.4,2.8,0.5,5446,10.7,15.2,23.9,23.9,10.3,Norton County, Kansas
0500000US20139,"Osage County, Kansas",15881,96.0,0.6,0.2,15881,11.8,9.7,23.6,27.3,8.5,Osage County, Kansas
0500000US20141,"Osborne County, Kansas",3530,96.2,0.5,0.1,3530,10.6,11.4,19.4,27.6,13.3,Osborne County, Kansas
0500000US20143,"Ottawa County, Kansas",5822,96.2,1.0,0.7,5822,11.9,9.1,25.1,26.8,9.100000000000001,Ottawa County, Kansas
0500000US20145,"Pawnee County, Kansas",6629,89.6,4.6,0.1,6629,11.6,13.3,25.6,25.9,10.0,Pawnee County, Kansas
0500000US20147,"Phillips County, Kansas",5340,96.7,0.7,0.5,5340,11.7,10.3,21.299999999999997,27.8,10.3,Phillips County, Kansas
0500000US20149,"Pottawatomie County, Kansas",23847,94.3,1.3,0.8,23847,12.2,12.6,24.4,20.4,5.9,Pottawatomie County, Kansas
0500000US20151,"Pratt County, Kansas",9452,94.3,2.5,0.1,9452,13.7,11.1,19.9,24.1,9.6,Pratt County, Kansas
0500000US20153,"Rawlins County, Kansas",2502,92.4,0.6,0.1,2502,9.0,9.8,21.6,29.1,13.3,Rawlins County, Kansas
