id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US48399,"Runnels County, Texas",32.1,18.3,20.3,14.0,15.2,30596.0,13.6,Runnels County, Texas
0500000US48401,"Rusk County, Texas",29.7,16.8,18.1,15.3,20.1,30904.0,18.4,Rusk County, Texas
0500000US48403,"Sabine County, Texas",24.5,22.4,26.5,14.0,12.6,21650.0,12.5,Sabine County, Texas
0500000US48405,"San Augustine County, Texas",25.4,21.1,21.6,11.9,20.0,26886.0,14.8,San Augustine County, Texas
0500000US48407,"San Jacinto County, Texas",23.2,16.2,22.5,20.0,18.3,30735.0,19.5,San Jacinto County, Texas
0500000US48409,"San Patricio County, Texas",30.0,18.4,20.5,15.9,15.2,31316.0,16.8,San Patricio County, Texas
0500000US48411,"San Saba County, Texas",27.3,17.8,17.9,20.5,16.4,25142.0,18.6,San Saba County, Texas
0500000US48413,"Schleicher County, Texas",30.7,15.7,19.2,18.9,15.4,31742.0,21.6,Schleicher County, Texas
0500000US48415,"Scurry County, Texas",21.0,19.9,20.2,19.9,18.9,31356.0,18.9,Scurry County, Texas
0500000US48417,"Shackelford County, Texas",31.9,20.6,23.7,13.8,10.0,27610.0,12.8,Shackelford County, Texas
0500000US48419,"Shelby County, Texas",23.2,16.4,18.7,20.3,21.5,27830.0,21.7,Shelby County, Texas
0500000US48421,"Sherman County, Texas",26.6,11.8,17.0,25.1,19.6,31184.0,20.6,Sherman County, Texas
0500000US48423,"Smith County, Texas",34.3,19.0,22.2,10.3,14.2,30991.0,16.3,Smith County, Texas
0500000US48425,"Somervell County, Texas",38.6,17.3,12.5,15.0,16.6,32472.0,13.6,Somervell County, Texas
0500000US48427,"Starr County, Texas",22.6,32.3,16.0,16.0,13.1,17828.0,34.8,Starr County, Texas
0500000US48429,"Stephens County, Texas",26.1,21.9,17.0,17.0,18.0,28888.0,19.2,Stephens County, Texas
0500000US48431,"Sterling County, Texas",24.9,15.8,25.2,12.5,21.6,40139.0,22.9,Sterling County, Texas
0500000US48433,"Stonewall County, Texas",30.3,14.1,19.4,19.9,16.3,28250.0,14.0,Stonewall County, Texas
0500000US48435,"Sutton County, Texas",30.4,14.3,23.5,19.5,12.3,32058.0,17.8,Sutton County, Texas
0500000US48437,"Swisher County, Texas",29.5,21.6,17.4,17.2,14.3,30068.0,20.2,Swisher County, Texas
0500000US48439,"Tarrant County, Texas",37.1,15.8,23.3,9.1,14.7,36693.0,16.1,Tarrant County, Texas
0500000US48441,"Taylor County, Texas",32.7,21.6,22.1,10.9,12.7,28419.0,14.0,Taylor County, Texas
0500000US48443,"Terrell County, Texas",35.0,22.7,12.3,13.7,16.2,38242.0,9.5,Terrell County, Texas
0500000US48445,"Terry County, Texas",23.9,20.7,17.7,25.6,12.2,26165.0,23.1,Terry County, Texas
0500000US48447,"Throckmorton County, Texas",32.6,13.5,28.7,12.9,12.4,28281.0,15.9,Throckmorton County, Texas
0500000US48449,"Titus County, Texas",21.4,19.1,20.5,11.0,27.9,27904.0,18.1,Titus County, Texas
0500000US48451,"Tom Green County, Texas",31.6,18.6,24.7,13.3,11.7,30433.0,13.7,Tom Green County, Texas
0500000US48453,"Travis County, Texas",49.7,15.0,20.4,7.7,7.2,41393.0,13.1,Travis County, Texas
0500000US48455,"Trinity County, Texas",30.9,18.6,19.4,16.7,14.4,30332.0,19.9,Trinity County, Texas
0500000US48457,"Tyler County, Texas",23.7,21.3,23.1,15.9,15.9,30443.0,16.9,Tyler County, Texas
0500000US48459,"Upshur County, Texas",28.5,15.5,25.9,12.2,17.8,30834.0,16.7,Upshur County, Texas
0500000US48461,"Upton County, Texas",20.7,18.8,18.1,26.6,15.7,31447.0,11.2,Upton County, Texas
